,County,Total Population,Civilian Population 16 to 19 Years:,Total Population: White Alone,Percent_White,White Applicants,White Admits,White Admit Rate,Total Population: Black or African American Alone,Percent_Black,Black Applicants,Black Admits,Black Admit Rate,Total Population: American Indian and Alaska Native Alone,Percent_Native_American,Native American Applicants,Native American Admits,Native American Admit Rate,Total Population: Asian Alone,Percent_Asian,Asian Applicants,Asian Admits,Asian Admit Rate,Total Population: Hispanic or Latino,Percent_Latino,Hispanic/Latino Applicants,Hispanic/Latino Admits,Latino_Admit_Rate,Total Population: Some Other Race Alone,Percent_Other,Other Applicants,Other Admits,Other Admit Rate,Total Population: Native Hawaiian and Other Pacific Islander Alone,Percent_Pacific_Islander,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate or More (Includes Equivalency),% Population 25 Years and Over: Some College or More,% Population 25 Years and Over: Bachelor's Degree or More,% Population 25 Years and Over: Master's Degree or More,% Population 25 Years and Over: Professional School Degree or More,% Population 25 Years and Over: Doctorate Degree,Median_Household_Income,Child_Poverty_Rate,App_GPA(avg)
0,Alameda,1629615,76292,694720,42.63,1166.0,809.0,69.38,180446,11.07,449.0,218.0,48.55,10152,0.62,0.0,0.0,,471335,28.92,2790.0,2135.0,76.52,367041,22.52,1020.0,583.0,57.16,155248,9.53,66.0,54.0,81.82,13652,0.84,12.46,87.54,69.65,44.71,18.98,5.86,2.87,85743,13.02,3.735009025892949
1,Alpine,1203,109,826,68.66,,,,18,1.5,,,,263,21.86,,,,8,0.67,,,,117,9.73,,,,0,0.0,,,,8,0.67,10.23,89.77,55.61,25.65,10.73,3.7,2.47,63438,17.28,
2,Amador,37306,1633,32453,86.99,15.0,10.0,66.67,796,2.13,0.0,0.0,,295,0.79,0.0,0.0,,582,1.56,0.0,3.0,inf,4943,13.25,0.0,4.0,inf,1366,3.66,0.0,0.0,,84,0.23,10.29,89.71,62.66,22.1,7.3,3.02,1.0,60636,20.26,3.9509805242272353
3,Butte,225207,13094,185221,82.24,103.0,56.0,54.37,3372,1.5,0.0,0.0,,2633,1.17,0.0,0.0,,10174,4.52,30.0,21.0,70.0,35445,15.74,24.0,13.0,54.17,9646,4.28,0.0,0.0,,424,0.19,11.25,88.75,66.12,26.62,8.93,3.22,0.99,46516,21.49,3.8482262487209087
4,Calaveras,45057,1922,41356,91.79,23.0,17.0,73.91,261,0.58,0.0,0.0,,497,1.1,0.0,0.0,,527,1.17,0.0,0.0,,5166,11.47,7.0,7.0,100.0,472,1.05,0.0,0.0,,208,0.46,9.99,90.01,62.42,19.28,6.71,1.73,0.61,54800,18.91,3.805643283292407
5,Colusa,21479,1262,18964,88.29,5.0,3.0,60.0,198,0.92,0.0,0.0,,247,1.15,0.0,0.0,,328,1.53,0.0,0.0,,12539,58.38,21.0,14.0,66.67,1169,5.44,0.0,0.0,,16,0.07,30.57,69.43,46.24,15.72,4.44,1.94,0.27,56481,20.7,3.831222222222223
6,Contra Costa,1123678,57007,658569,58.61,1203.0,763.0,63.42,96345,8.57,209.0,105.0,50.24,5410,0.48,0.0,0.0,,180072,16.03,1251.0,912.0,72.9,284003,25.27,693.0,412.0,59.45,102876,9.16,32.0,52.0,162.5,5542,0.49,10.91,89.09,71.2,40.74,14.86,4.83,1.91,88456,12.43,3.7356991798880763
7,Del Norte,27442,1133,21073,76.79,7.0,6.0,85.71,493,1.8,0.0,0.0,,2158,7.86,0.0,0.0,,776,2.83,0.0,0.0,,5281,19.24,0.0,0.0,,909,3.31,0.0,0.0,,21,0.08,18.44,81.56,49.49,14.44,5.71,2.28,0.75,41287,31.19,3.87916666666667
8,El Dorado,185015,9246,161881,87.5,217.0,126.0,58.06,1789,0.97,7.0,3.0,42.86,1347,0.73,0.0,3.0,inf,7864,4.25,76.0,57.0,75.0,23279,12.58,46.0,28.0,60.87,5026,2.72,0.0,5.0,inf,333,0.18,7.1,92.9,71.44,33.33,11.98,3.99,1.42,74885,11.59,3.641071995464853
9,Fresno,971616,56709,617322,63.54,291.0,202.0,69.42,47715,4.91,79.0,43.0,54.43,9784,1.01,0.0,0.0,,97966,10.08,437.0,309.0,70.71,509442,52.43,783.0,463.0,59.13,158359,16.3,7.0,3.0,42.86,1947,0.2,25.33,74.67,51.83,20.12,6.8,2.52,0.86,48730,36.48,3.731559058886964
10,Glenn,27935,1644,23191,83.02,0.0,3.0,inf,220,0.79,0.0,0.0,,541,1.94,0.0,0.0,,729,2.61,0.0,0.0,,11407,40.83,10.0,8.0,80.0,2542,9.1,0.0,0.0,,113,0.4,27.49,72.51,45.22,12.99,2.84,1.22,0.38,46260,25.47,3.7533333333333294
11,Humboldt,135490,7645,109346,80.7,91.0,67.0,73.63,1609,1.19,0.0,0.0,,7042,5.2,0.0,0.0,,3926,2.9,0.0,7.0,inf,14986,11.06,0.0,6.0,inf,5318,3.93,0.0,0.0,,418,0.31,9.45,90.55,66.51,29.43,10.09,3.7,1.38,43718,22.46,3.938208626355175
12,Imperial,179957,10659,117188,65.12,6.0,8.0,133.33,4785,2.66,0.0,0.0,,1979,1.1,0.0,0.0,,2584,1.44,5.0,7.0,140.0,150108,83.41,252.0,192.0,76.19,44841,24.92,0.0,0.0,,261,0.15,31.59,68.41,44.88,14.28,4.43,0.86,0.17,44779,30.97,3.7953027544833766
13,Inyo,18195,814,14685,80.71,10.0,6.0,60.0,174,0.96,0.0,0.0,,2093,11.5,0.0,0.0,,272,1.49,0.0,0.0,,3894,21.4,9.0,3.0,33.33,409,2.25,0.0,0.0,,34,0.19,11.35,88.65,58.31,25.28,9.38,2.46,1.25,51500,13.35,3.732380952380951
14,Kern,878744,52584,660196,75.13,200.0,115.0,57.5,48078,5.47,42.0,22.0,52.38,9739,1.11,0.0,0.0,,41263,4.7,159.0,136.0,85.53,458907,52.22,763.0,481.0,63.04,88403,10.06,0.0,0.0,,1620,0.18,26.19,73.81,46.13,15.79,5.24,1.57,0.62,50826,31.33,3.70817271567429
15,Kings,150183,8434,99117,66.0,17.0,12.0,70.59,9597,6.39,0.0,0.0,,2259,1.5,0.0,0.0,,5694,3.79,28.0,19.0,67.86,80715,53.74,79.0,44.0,55.7,26842,17.87,0.0,0.0,,367,0.24,27.08,72.92,47.38,13.05,3.78,1.38,0.27,49742,28.74,3.7809833369245127
16,Lake,64095,2960,49841,77.76,30.0,16.0,53.33,1493,2.33,0.0,0.0,,2201,3.43,0.0,0.0,,953,1.49,0.0,0.0,,12445,19.42,11.0,0.0,0.0,7951,12.41,0.0,0.0,,33,0.05,15.29,84.71,54.44,15.34,5.45,1.83,0.59,40446,31.62,3.7604895382395385
17,Lassen,31470,1179,25615,81.39,6.0,4.0,66.67,2748,8.73,0.0,0.0,,968,3.08,0.0,0.0,,463,1.47,0.0,0.0,,5829,18.52,0.0,3.0,inf,865,2.75,0.0,0.0,,219,0.7,17.66,82.34,49.94,12.4,4.55,1.64,0.54,54083,20.72,
18,Los Angeles,10105722,543922,5232835,51.78,5033.0,3265.0,64.87,828981,8.2,1940.0,862.0,44.43,68211,0.67,0.0,3.0,inf,1460508,14.45,7637.0,5541.0,72.55,4893579,48.42,15514.0,7573.0,48.81,2101084,20.79,263.0,171.0,65.02,27691,0.27,21.84,78.16,57.44,31.23,10.88,3.63,1.3,61015,24.02,3.6094667074221367
19,Madera,154440,9449,118390,76.66,43.0,23.0,53.49,4938,3.2,0.0,3.0,inf,2556,1.66,0.0,0.0,,3303,2.14,20.0,16.0,80.0,87852,56.88,131.0,86.0,65.65,20081,13.0,5.0,0.0,0.0,224,0.15,28.39,71.61,46.82,13.84,4.53,1.58,0.63,48210,31.5,3.829984615384616
20,Marin,260814,10406,203898,78.18,590.0,362.0,61.36,5759,2.21,15.0,8.0,53.33,689,0.26,0.0,0.0,,14912,5.72,135.0,87.0,64.44,41391,15.87,123.0,55.0,44.72,22779,8.73,14.0,5.0,35.71,492,0.19,6.75,93.25,82.02,57.51,25.05,9.67,3.08,104703,9.67,3.865141901608544
21,Mariposa,17658,632,15715,89.0,13.0,12.0,92.31,215,1.22,0.0,0.0,,467,2.64,0.0,0.0,,168,0.95,0.0,0.0,,1870,10.59,0.0,0.0,,309,1.75,0.0,0.0,,56,0.32,9.89,90.11,61.91,24.42,9.65,2.82,0.97,51385,17.5,4.004
22,Mendocino,87497,4419,72378,82.72,47.0,25.0,53.19,620,0.71,0.0,0.0,,3703,4.23,0.0,0.0,,1509,1.72,6.0,4.0,66.67,21402,24.46,22.0,15.0,68.18,4644,5.31,0.0,0.0,,186,0.21,13.1,86.9,60.67,24.78,8.38,3.13,1.22,46528,24.43,3.9048787088042194
23,Merced,267390,18658,153649,57.46,61.0,49.0,80.33,8621,3.22,12.0,11.0,91.67,1826,0.68,0.0,0.0,,20224,7.56,109.0,97.0,88.99,155650,58.21,400.0,278.0,69.5,70466,26.35,0.0,0.0,,456,0.17,31.11,68.89,43.79,13.76,4.81,1.58,0.72,46338,33.36,3.7255970463934935
24,Modoc,9017,435,8244,91.43,0.0,0.0,,65,0.72,0.0,0.0,,368,4.08,0.0,0.0,,105,1.16,0.0,0.0,,1317,14.61,0.0,0.0,,31,0.34,0.0,0.0,,8,0.09,14.49,85.51,55.05,16.58,4.04,0.73,0.0,39296,20.42,
25,Mono,14058,491,11987,85.27,6.0,3.0,50.0,74,0.53,0.0,0.0,,374,2.66,0.0,0.0,,280,1.99,0.0,0.0,,3815,27.14,0.0,0.0,,940,6.69,0.0,0.0,,0,0.0,15.27,84.73,65.8,31.54,8.33,1.99,0.3,60595,11.95,
26,Monterey,433168,24661,281181,64.91,192.0,118.0,61.46,11278,2.6,21.0,11.0,52.38,2890,0.67,0.0,0.0,,24867,5.74,150.0,94.0,62.67,250913,57.93,504.0,208.0,41.27,93107,21.49,0.0,0.0,,2038,0.47,28.8,71.2,50.5,23.92,9.45,3.16,1.25,63249,21.59,3.6674987304821585
27,Napa,141005,7485,102418,72.63,164.0,105.0,64.02,2998,2.13,9.0,6.0,66.67,1236,0.88,0.0,0.0,,11150,7.91,56.0,39.0,69.64,47547,33.72,113.0,48.0,42.48,17573,12.46,0.0,0.0,,297,0.21,15.27,84.73,66.63,34.57,11.76,4.49,1.45,79637,8.97,3.823168693279543
28,Nevada,98838,4471,91016,92.09,73.0,55.0,75.34,582,0.59,0.0,0.0,,930,0.94,0.0,0.0,,1123,1.14,0.0,3.0,inf,9109,9.22,11.0,7.0,63.64,1823,1.84,0.0,0.0,,99,0.1,6.45,93.55,75.04,35.83,12.98,4.13,1.25,60610,15.1,3.77717621757737
29,Orange,3155816,168512,1960484,62.12,2880.0,1667.0,57.88,53262,1.69,172.0,114.0,66.28,14468,0.46,0.0,9.0,inf,621178,19.68,4314.0,3190.0,73.95,1079172,34.2,3212.0,1644.0,51.18,373605,11.84,79.0,76.0,96.2,9620,0.3,15.29,84.71,67.4,39.07,13.86,4.38,1.57,81851,16.42,3.7023047282060886
30,Placer,374985,18701,310295,82.75,470.0,282.0,60.0,5756,1.53,36.0,19.0,52.78,2029,0.54,5.0,5.0,100.0,25999,6.93,223.0,156.0,69.96,51131,13.64,134.0,73.0,54.48,11661,3.11,10.0,4.0,40.0,874,0.23,5.54,94.46,75.4,37.49,12.48,3.88,1.14,80488,8.3,3.836706080682462
31,Plumas,18724,757,16781,89.62,,0.0,,160,0.85,,0.0,,398,2.13,,0.0,,148,0.79,,0.0,,1599,8.54,,0.0,,368,1.97,,0.0,,55,0.29,6.43,93.57,68.11,22.59,10.12,2.42,0.55,50266,12.78,3.0460000000000003
32,Riverside,2355002,141857,1450473,61.59,1071.0,717.0,66.95,148960,6.33,513.0,271.0,52.83,19865,0.84,5.0,6.0,120.0,148213,6.29,907.0,683.0,75.3,1130033,47.98,3568.0,2057.0,57.65,474855,20.16,41.0,26.0,63.41,6863,0.29,18.91,81.09,54.71,21.52,7.84,2.28,0.87,60807,21.31,3.6514620967174487
33,Sacramento,1495400,75776,877495,58.68,807.0,490.0,60.72,147425,9.86,315.0,176.0,55.87,10384,0.69,0.0,3.0,inf,229441,15.34,1166.0,826.0,70.84,340656,22.78,605.0,359.0,59.34,109241,7.31,29.0,25.0,86.21,16019,1.07,12.98,87.02,64.52,29.87,10.15,3.32,1.07,60239,22.61,3.7176548270366854
34,San Benito,58671,3552,48136,82.04,18.0,10.0,55.56,442,0.75,0.0,0.0,,426,0.73,0.0,0.0,,1649,2.81,8.0,7.0,87.5,34561,58.91,54.0,30.0,55.56,5181,8.83,0.0,0.0,,124,0.21,20.9,79.1,54.44,19.19,5.86,1.91,0.7,80760,14.45,3.634448412698413
35,San Bernardino,2121220,129131,1312700,61.88,577.0,402.0,69.67,178674,8.42,447.0,231.0,51.68,17046,0.8,0.0,0.0,,146650,6.91,809.0,667.0,82.45,1108996,52.28,2891.0,1703.0,58.91,360213,16.98,56.0,36.0,64.29,6660,0.31,20.8,79.2,52.98,19.77,6.94,1.9,0.74,57156,25.82,3.646991335081584
36,San Diego,3283665,173100,2325434,70.82,2877.0,1852.0,64.37,164571,5.01,547.0,265.0,48.45,21064,0.64,13.0,18.0,138.46,384154,11.7,2220.0,1650.0,74.32,1095458,33.36,3340.0,1894.0,56.71,207640,6.32,116.0,63.0,54.31,14182,0.43,13.3,86.7,68.1,37.36,14.36,4.82,2.08,70588,17.06,3.7762397810416233
37,San Francisco,864263,25022,408266,47.24,570.0,382.0,67.02,45654,5.28,124.0,60.0,48.39,3306,0.38,0.0,0.0,,295347,34.17,1604.0,1061.0,66.15,131949,15.27,364.0,194.0,53.3,64800,7.5,62.0,62.0,100.0,3226,0.37,12.1,87.9,75.6,55.79,22.37,7.69,2.74,96265,11.37,3.715215890371527
38,San Joaquin,724153,43844,404806,55.9,208.0,131.0,62.98,50433,6.96,59.0,28.0,47.46,4304,0.59,0.0,0.0,,109359,15.1,500.0,368.0,73.6,295606,40.82,473.0,276.0,58.35,80536,11.12,0.0,0.0,,4233,0.58,21.56,78.44,51.07,18.08,5.77,1.84,0.65,57813,23.06,3.682924037155309
39,San Luis Obispo,280119,19462,240584,85.89,269.0,154.0,57.25,5393,1.93,0.0,0.0,,2041,0.73,0.0,3.0,inf,10276,3.67,22.0,21.0,95.45,62174,22.2,114.0,52.0,45.61,11804,4.21,0.0,0.0,,280,0.1,9.53,90.47,70.66,34.0,12.85,4.54,2.05,67175,12.9,3.940904594692816
40,San Mateo,763450,31819,397718,52.09,867.0,529.0,61.01,18577,2.43,16.0,6.0,37.5,2611,0.34,0.0,4.0,inf,210816,27.61,932.0,657.0,70.49,190045,24.89,574.0,322.0,56.1,82231,10.77,52.0,39.0,75.0,10797,1.41,11.06,88.94,73.44,48.54,20.33,7.28,3.25,105667,8.73,3.6935763906666113
41,Santa Barbara,442996,32040,330827,74.68,343.0,233.0,67.93,8307,1.88,10.0,3.0,30.0,3869,0.87,0.0,3.0,inf,23927,5.4,95.0,74.0,77.89,198556,44.82,421.0,238.0,56.53,55909,12.62,0.0,10.0,inf,732,0.17,19.56,80.44,63.02,33.27,13.46,4.99,2.29,68023,19.37,3.7423407074045545
42,Santa Clara,1911226,91461,869630,45.5,1754.0,1094.0,62.37,48314,2.53,127.0,76.0,59.84,9273,0.49,0.0,3.0,inf,671511,35.14,4475.0,3401.0,76.0,498253,26.07,1215.0,665.0,54.73,210878,11.03,170.0,139.0,81.76,7438,0.39,12.45,87.55,72.77,50.02,23.18,6.34,3.63,106761,9.73,3.794442520870577
43,Santa Cruz,273263,19750,211116,77.26,278.0,167.0,60.07,2424,0.89,0.0,0.0,,1507,0.55,0.0,0.0,,12547,4.59,54.0,33.0,61.11,91096,33.34,231.0,124.0,53.68,32786,12.0,5.0,3.0,60.0,261,0.1,13.59,86.41,70.88,39.75,16.12,5.64,2.74,73663,16.95,3.812288014722473
44,Shasta,178919,8973,155538,86.93,94.0,52.0,55.32,2007,1.12,0.0,0.0,,4404,2.46,0.0,0.0,,5310,2.97,19.0,12.0,63.16,17218,9.62,22.0,16.0,72.73,3711,2.07,0.0,0.0,,153,0.09,9.32,90.68,64.95,21.36,7.37,2.49,0.58,47258,25.4,3.710914834620718
45,Sierra,2885,108,2797,96.95,,,,4,0.14,,,,28,0.97,,,,0,0.0,,,,290,10.05,,,,1,0.03,,,,0,0.0,7.09,92.91,67.49,21.4,6.53,1.6,0.73,44190,10.56,
46,Siskiyou,43530,1971,37064,85.15,16.0,8.0,50.0,675,1.55,0.0,0.0,,1511,3.47,0.0,0.0,,687,1.58,0.0,0.0,,5218,11.99,0.0,0.0,,690,1.59,0.0,0.0,,161,0.37,10.69,89.31,64.22,22.69,7.64,2.23,0.58,40884,26.62,3.6845128968253977
47,Solano,434981,21702,229351,52.73,179.0,122.0,68.16,61752,14.2,54.0,22.0,40.74,2106,0.48,0.0,0.0,,66432,15.27,256.0,162.0,63.28,112098,25.77,205.0,128.0,62.44,39516,9.08,0.0,0.0,,3818,0.88,12.41,87.59,64.3,25.57,7.71,2.39,0.83,72950,16.59,3.74503052873285
48,Sonoma,500943,23987,377401,75.34,438.0,256.0,58.45,7848,1.57,7.0,0.0,0.0,5750,1.15,0.0,0.0,,19605,3.91,112.0,78.0,69.64,132018,26.35,276.0,135.0,48.91,62101,12.4,0.0,6.0,inf,1677,0.33,12.32,87.68,68.55,33.85,12.17,4.24,1.43,71769,13.05,3.7302586404447937
49,Stanislaus,535684,30746,400661,74.79,219.0,169.0,77.17,15121,2.82,7.0,10.0,142.86,3789,0.71,0.0,3.0,inf,29488,5.5,138.0,111.0,80.43,240816,44.95,437.0,274.0,62.7,59966,11.19,0.0,7.0,inf,3670,0.69,22.25,77.75,49.54,16.72,5.37,1.89,0.52,54260,23.2,3.829836424174818
50,Sutter,95583,5147,67211,70.32,21.0,17.0,80.95,1970,2.06,0.0,0.0,,904,0.95,0.0,0.0,,14565,15.24,60.0,44.0,73.33,28910,30.25,53.0,32.0,60.38,4185,4.38,0.0,0.0,,539,0.56,21.35,78.65,53.74,17.51,5.54,1.74,0.42,54347,23.33,3.829116666666668
51,Tehama,63247,2918,54371,85.97,13.0,6.0,46.15,379,0.6,0.0,0.0,,1505,2.38,0.0,0.0,,907,1.43,0.0,0.0,,15316,24.22,6.0,0.0,0.0,3505,5.54,0.0,0.0,,27,0.04,15.96,84.04,51.64,14.37,4.62,1.49,0.28,42512,30.91,
52,Trinity,13037,734,11284,86.55,7.0,4.0,57.14,104,0.8,0.0,0.0,,559,4.29,0.0,0.0,,161,1.23,0.0,0.0,,937,7.19,0.0,0.0,,416,3.19,0.0,0.0,,118,0.91,10.23,89.77,57.89,19.47,4.06,1.03,0.51,36563,24.5,
53,Tulare,458809,29320,361911,78.88,92.0,74.0,80.43,7177,1.56,0.0,0.0,,5787,1.26,0.0,0.0,,16081,3.5,36.0,40.0,111.11,291867,63.61,449.0,265.0,59.02,52819,11.51,0.0,0.0,,629,0.14,31.36,68.64,42.81,13.84,4.55,1.36,0.42,44871,36.19,3.665134130413685
54,Tuolumne,53899,2342,47181,87.54,25.0,18.0,72.0,975,1.81,0.0,0.0,,931,1.73,0.0,0.0,,609,1.13,0.0,3.0,inf,6385,11.85,0.0,0.0,,1636,3.04,0.0,0.0,,155,0.29,9.28,90.72,61.53,20.57,7.47,2.47,0.72,54325,13.8,3.3568
55,Ventura,847834,46337,677010,79.85,852.0,501.0,58.8,14805,1.75,31.0,19.0,61.29,6929,0.82,8.0,7.0,87.5,60986,7.19,510.0,382.0,74.9,358244,42.25,793.0,405.0,51.07,49513,5.84,15.0,11.0,73.33,1658,0.2,16.01,83.99,65.07,32.59,12.2,4.0,1.64,81972,14.39,3.8452877714957787
56,Yolo,212605,17436,142841,67.19,246.0,169.0,68.7,5301,2.49,13.0,9.0,69.23,1333,0.63,0.0,0.0,,29138,13.71,149.0,107.0,71.81,66787,31.41,134.0,75.0,55.97,19837,9.33,8.0,0.0,0.0,911,0.43,13.88,86.12,67.26,40.57,19.84,9.24,5.22,61621,16.32,3.8300439680517
57,Yuba,74644,3656,54601,73.15,13.0,7.0,53.85,2484,3.33,0.0,0.0,,1033,1.38,0.0,0.0,,4823,6.46,0.0,0.0,,20479,27.44,23.0,13.0,56.52,5269,7.06,0.0,0.0,,300,0.4,17.85,82.15,57.58,16.38,4.41,1.05,0.18,51776,24.97,3.6323389610389603
